2019/04/23;Recorded at time: 08:52:06

Commodity           Category            Price          Quantity  
Apple               Fruit               9.00           0         
Broccoli            Vegetable           7.00           0         
Car                 Vehicle             7000.00        0         
Chandelier          Furniture           3000.00        0         
Dell XPS            Electronic          10000.00       0         
Hersheys Choco      Sweet               10.00          0         
Macbook Pro         Electronic          12000.00       0         
Orange              Fruit               9.00           0         
Surface             Electronic          3495.00        0         
;2019/04/26;Recorded at time: 10:37:28

Commodity           Category            Price          Quantity  
100 Plus            Beverage            7.00           10        
7 Up                Beverage            8.00           11        
Apple               Fruit               9.00           5         
Broccoli            Vegetable           7.00           0         
Chair               Furniture           1000.00        121       
Chandelier          Furniture           3000.00        110       
Choco Pie           Candy               6.00           0         
Coca Cola           Beverage            8.00           0         
Dell XPS            Electronics         10000.00       24        
Eggplant            Vegetable           6.00           0         
Hersheys Choco      Candy               10.00          0         
Lettuce             Vegetable           7.00           0         
Macbook Pro         Electronics         12000.00       141       
Orange              Fruit               9.00           10        
Pineapple           Fruit               11.00          10        
Surface             Electronics         34950.00       100       
;
