2019/04/23;Recorded at time: 08:52:06

Commodity           Category            Price          Quantity  
Apple               Fruit               9.00           0         
Broccoli            Vegetable           7.00           0         
Car                 Vehicle             7000.00        0         
Chandelier          Furniture           3000.00        0         
Dell XPS            Electronic          10000.00       0         
Hersheys Choco      Sweet               10.00          0         
Macbook Pro         Electronic          12000.00       0         
Orange              Fruit               9.00           0         
Surface             Electronic          3495.00        0         
;2019/04/26;Recorded at time: 14:14:35

Commodity           Category            Price          Quantity       Status         Manufacturer        
100 Plus            Beverage            7.00           0              Out of stock   ManufacturerC       
7 Up                Beverage            8.00           0              Out of stock   ManufacturerB       
Apple               Fruit               9.00           10             Available      ManufacturerA       
Broccoli            Vegetable           7.00           0              Out of stock   ManufacturerA       
Chair               Furniture           1000.00        200            Available      ManufacturerC       
Chandelier          Furniture           3000.00        100            Available      ManufacturerA       
Choco Pie           Candy               6.00           0              Out of stock   ManufacturerC       
Coca Cola           Beverage            8.00           0              Out of stock   ManufacturerA       
Dell XPS            Electronics         10000.00       102            Available      ManufacturerA       
Eggplant            Vegetable           6.00           0              Out of stock   ManufacturerB       
Hersheys Choco      Candy               10.00          0              Out of stock   ManufacturerA       
Lettuce             Vegetable           7.00           0              Out of stock   ManufacturerB       
Macbook Pro         Electronics         12000.00       180            Available      ManufacturerB       
Mentos              Candy               12.00          0              Out of stock   ManufacturerC       
Orange              Fruit               9.00           20             Available      ManufacturerC       
Pineapple           Fruit               11.00          20             Available      ManufacturerA       
Surface             Electronics         34950.00       150            Available      ManufacturerC       
;
