2019/04/26;Recorded at time: 14:14:35

Commodity           Category            Price          Quantity       Status         Manufacturer        
100 Plus            Beverage            7.00           0              Out of stock   ManufacturerC       
7 Up                Beverage            8.00           0              Out of stock   ManufacturerB       
Apple               Fruit               9.00           0              Out of stock   ManufacturerA       
Broccoli            Vegetable           7.00           0              Out of stock   ManufacturerA       
Chair               Furniture           1000.00        0              Out of stock   ManufacturerC       
Chandelier          Furniture           3000.00        0              Out of stock   ManufacturerA       
Choco Pie           Candy               6.00           0              Out of stock   ManufacturerC       
Coca Cola           Beverage            8.00           0              Out of stock   ManufacturerA       
Dell XPS            Electronics         10000.00       0              Out of stock   ManufacturerA       
Eggplant            Vegetable           6.00           0              Out of stock   ManufacturerB       
Hersheys Choco      Candy               10.00          0              Out of stock   ManufacturerA       
Lettuce             Vegetable           7.00           0              Out of stock   ManufacturerB       
Macbook Pro         Electronics         12000.00       0              Out of stock   ManufacturerB       
Mentos              Candy               12.00          0              Out of stock   ManufacturerC       
Orange              Fruit               9.00           0              Out of stock   ManufacturerC       
Pineapple           Fruit               11.00          0              Out of stock   ManufacturerA       
Surface             Electronics         34950.00       0              Out of stock   ManufacturerC       
;
